Response ID,ID
What year were you born?  ,AGE
What is your gender?  ,GENDER
"How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",Employment Duration
Which of the following best describes your industry?  ,Industry
Which of the following best describes your current occupation?  ,Occupation
How many people are currently employed by your organisation?   ,Size of Employer Company
Which of the following best describes your household?  ,Size of Household
Metro or Regional,Residency Area
"Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Time Spent Working Remotely Last Quarter of Last Year
"How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Preferred Time Spent Working Remotely Last Quarter of Last Year
"Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Time Spent Working Remotely in 2021
"How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Preferred Time Spent Working Remotely in 2021
"Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Preferred Time Spent Working Remotely in Future
These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,Employer's Policy change on Remote Work
"In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",1 day Hybrid last 6 months
How often do you work this way?  ,Duration of Hybrid
How often would you like to work this way?  ,Preferences towards Hybrid
Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,Employer's Policy on Hybrid
"How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ",Employer's Time Preference on Onsite
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me",Attitude on Employer's Preferences
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely",Liberty to make the Choice on Decision
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely",Liberty to make the Choice on Days
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work",Direct Manager's role
How do you feel about your employer’s remote working policy?  ,Attitude on Employer's Decision on Remote Work
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely",Attitude on Employer's Encouragement
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation was well prepared for me to work remotely",Attitude on Employer's Preparedness
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was common for people in my organisation to work remotely",Attitude of Other Employees 
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was easy to get permission to work remotely",Ease to get Permission on Remote Work
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I could easily collaborate with colleagues when working remotely",Ease to Collaborate with Colleagues
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - Working remotely reduces my chances of promotion",Effect of Promotion
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I take more regular breaks while working remotely",Attitude on Taking Breaks
Do you think remote working is a positive or a negative for your employer?  ,Impact on Employer
Who is most supportive of remote working in your organisation?  ,Most Supportive Person(s) on Remote Work
Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would encourage more remote working,Expected Employer's Encouragement Post Covid
Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would make changes to support remote working,Expected Employer's Support Post Covid
Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - I would have more choice about whether I work remotely,Attitude on Choice on Remote Post Covid
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",Intended Time to Commute Onsite
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working",Intended Time for Work Onsite
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities",Intended Time for Chores Onsite
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time",Intended Time for Personal Life Onsite
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep",Intended Time for Sleep Onsite
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",Intended Time to Commute Remote
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working",Intended Time for Work Remote
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities",Intended Time for Chores Remote
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time",Intended Time for Personal Life Remote
"Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep",Intended Time for Sleep Remote
"Imagine your employer offered you the option to work remotely whenever you chose, in return for negotiating a pay cut that you both agree on.  Would you be interested in negotiating?   ",Attitude on pay cut
What is the biggest pay cut you would accept?   Please give your answer as a percentage.  ,Agreed percentage on Pay cut
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My caring responsibilities,Barrier of Caring Responsibilities
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Connectivity (for example internet),Barrier of Connectivity
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My organisation's software and systems,Barrier from Organizations Software System
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Difficulty collaborating remotely,Barrier on Collaboration
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Poor management,Barrier of poor management
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - IT equipment (computer or printer),Barrier of IT Equipment
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Feeling left out and/or isolated,Barrier of Feeling Isolated
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Extra costs,Barrier of Extra Cost
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Cyber security,Barrier of Cyber Security
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - I have tasks that can't be done remotely,Barrier of task cannot be done remotely
"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Barrier about working Space
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Motivation,Barrier on Motivation
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Management discourages remote working,Barrier on Management encouragement on Remote
"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My living situation (e.g. location, home size, who I live with)",Barrier of my living situation
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Lack of remote working skills,Barrier of Remote Working Skills
Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My health and safety when working remotely,Barrier of Health and Safety
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,smallest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,biggest barrier working Hybrid
Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,smallest barrier working Hybrid
How strongly do you agree or disagree with the following statements?   - On days when I work remotely I feel better,Positivity on Remote Work
How strongly do you agree or disagree with the following statements?   - On days when I work remotely I am more active,Activeness on Remote Work
How strongly do you agree or disagree with the following statements?   - I feel better on days when I see my colleagues in person,Attitute towards Team Members
Do you manage people as part of your current job?  ,Management role of Participant
Do employees you manage ever work remotely?  ,Remote Employees under Manager 
How strongly do you agree or disagree with the following statements?    - I have discretion to offer or deny remote work to employees I manage,Manager's discretion towards Remote 
How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,Opinion on Remote Employee Retention
How strongly do you agree or disagree with the following statements?    - Offering remote work helps me to recruit employees,Opinion on Remote Employee Recruitment
How strongly do you agree or disagree with the following statements?    - My team works well together when they work remotely,Opinion on Remote Team Work
How strongly do you agree or disagree with the following statements?    - I find it easy to manage employees remotely (e.g. tasking and monitoring progress),Opinion on monitoring Remote Team
How strongly do you agree or disagree with the following statements?    - I find it easy to manage poor performers remotely,Opinion on Remote Poor Performers
How strongly do you agree or disagree with the following statements?    - I feel well-prepared to manage employees remotely,Opinion on Preparation for Remote Employee Management
How strongly do you agree or disagree with the following statements?    - Managing people remotely makes me more focused on results,Opinion on Preparation for Focus on Work
How strongly do you agree or disagree with the following statements?    - I find it easy to contact my employees when they work remotely,Opinion on Finding Employees
"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.    Please compare your productivity when you work remotely to when you work at your employer’s workplace.    Roughly how productive are you, each hour, when you work remotely?  ",Manager's Productivity on Remote
"Now think about the productivity of the employees you manage.   Roughly how productive are the employees you manage, each hour, when they work remotely?  ",Employee's Productivity on Remote
